"Time","Proteinpulver","Kreatin","Whey Protein","Vitamin D","Omega 3"
"2026-04-09",23,60,29,88,75
"2026-04-10",27,50,24,84,66
"2026-04-11",28,52,25,83,71
"2026-04-12",34,54,34,77,78
"2026-04-13",35,50,31,90,79
"2026-04-14",32,53,28,93,81
"2026-04-15",28,47,28,100,77
"2026-04-16",29,47,34,91,72
"2026-04-17",25,46,23,88,72
"2026-04-18",33,44,25,75,67
"2026-04-19",41,49,35,80,73
"2026-04-20",33,51,28,80,72
"2026-04-21",36,54,28,93,71
"2026-04-22",40,50,28,91,72
"2026-04-23",32,47,30,92,71
"2026-04-24",29,43,19,78,60
"2026-04-25",30,53,18,61,58
"2026-04-26",35,54,21,64,62
"2026-04-27",34,49,24,77,72
"2026-04-28",32,49,20,77,63
"2026-04-29",31,47,21,71,63
"2026-04-30",24,39,17,72,56
"2026-05-01",27,40,18,59,53
"2026-05-02",28,39,19,51,50
"2026-05-03",33,47,25,53,59
"2026-05-04",39,46,23,82,61
"2026-05-05",36,45,22,97,63
"2026-05-06",34,46,22,73,64
"2026-05-07",32,46,19,74,62
"2026-05-08",27,38,16,63,56