"query","search interest","increase percent"
"c4 whey protein",3,"Breakout"
"iron brothers",2,"Breakout"
"sponser whey isolate 94",0,"950 %"
"veganes proteinpulver",3,"200 %"
"sportyfeel whey protein",5,"190 %"
"protein pancakes mit whey",3,"150 %"
"bestes proteinpulver",3,"130 %"
"ironmaxx whey protein",8,"130 %"
"bodylab24 whey protein",3,"110 %"
"bodylab24",4,"90 %"
"ironmaxx",8,"60 %"
"ironmaxx whey protein lidl",2,"50 %"
"esn protein pulver",17,"50 %"
"lidl protein",17,"50 %"
"whey protein aldi",12,"50 %"
"whey protein ohne süßungsmittel",3,"50 %"
"esn proteinpulver",9,"50 %"
"more protein pulver",4,"40 %"
"whey protein lidl",16,"40 %"
"more",29,"40 %"
"more whey protein",30,"40 %"
"whey protein von mammut",3,"40 %"
"more protein",29,"40 %"
"isoclear whey protein isolate",9,"40 %"
"mass gainer",3,"40 %"
"esn whey protein pulver",16,"40 %"
"foodspring",6,"30 %"
"proteinpulver test",5,"30 %"
"markus rühl protein",3,"30 %"
"bodybuilding depot",3,"30 %"
"proteinpulver",34,"30 %"
"ahead",3,"30 %"
"whey protein esn",100,"30 %"
"alpenpower",5,"30 %"
"esn isoclear whey isolate",5,"30 %"
"lidl whey protein",15,"30 %"
"esn whey protein",100,"30 %"
"rühl protein",6,"30 %"
"esn",99,"30 %"
"aldi whey protein",12,"30 %"
"esn whey",98,"30 %"
"esn protein",99,"20 %"
"more nutrition",8,"20 %"
"clear whey protein",33,"20 %"
"rühls bestes",3,"20 %"
"weider whey protein",6,"20 %"
"whey protein isolat",20,"20 %"
"clear protein",34,"20 %"
"whey protein pulver",71,"20 %"
"my protein clear whey",2,"20 %"